"name";"a_seas";"a";"w";"dist-type";"sd";"Bit";"LUT";"X9"
"sax";NA;256;455;"norm";1;3640;32640;NA
"sax";NA;128;520;"norm";1;3640;8128;NA
"sax";NA;32;728;"norm";1;3640;496;NA
"sax";NA;16;910;"norm";1;3640;120;NA
"seassaxres";1024;123;455;"norm";0.903383563236421;3639;15863906304;1063705
"seassaxres";256;142;455;"norm";0.903383563236421;3637;1321467904;85700
"seassaxres";64;165;455;"norm";0.903383563236421;3640;111513600;31321
"seassaxres";16;191;455;"norm";0.903383563236421;3640;9339136;36737
